time,signal,feeder,pump,condition
20-10-2019-19:13:10,,b'',,R reward
20-10-2019-19:13:20,play,b'',,R reward
20-10-2019-19:13:30,,b'',,R reward
20-10-2019-19:13:40,play,b'',,R reward
20-10-2019-19:13:50,,b'',,R reward
20-10-2019-19:14:00,play,b'',,R reward
20-10-2019-19:14:10,,b'',,R reward
20-10-2019-19:14:20,play,b'',,R reward
20-10-2019-19:14:30,,b'',,R reward
20-10-2019-19:14:40,play,b'',,R reward
20-10-2019-19:14:50,,b'',,R reward
20-10-2019-19:15:00,play,b'',,R reward
20-10-2019-19:15:10,,b'',,R reward
20-10-2019-19:15:20,play,b'',,R reward
20-10-2019-19:15:30,,b'',,R reward
20-10-2019-19:15:40,play,b'',,R reward
20-10-2019-19:15:50,,b'',,R reward
20-10-2019-19:16:00,play,b'',,R reward
20-10-2019-19:16:10,,b'',,R reward
20-10-2019-19:16:20,play,b'',,R reward
20-10-2019-19:16:30,,b'',,R reward
20-10-2019-19:16:40,play,b'',,R reward
20-10-2019-19:16:50,,b'',,R reward
20-10-2019-19:17:00,play,b'',,R reward
20-10-2019-19:17:10,,b'',,R reward
20-10-2019-19:17:20,play,b'',,R reward
20-10-2019-19:17:30,,b'',,R reward
20-10-2019-19:17:40,play,b'',,R reward
20-10-2019-19:17:50,,b'',,R reward
20-10-2019-19:18:00,play,b'',,R reward
20-10-2019-19:18:10,,b'',,R reward
20-10-2019-19:18:20,play,b'',,R reward
20-10-2019-19:18:30,,b'',,R reward
20-10-2019-19:18:40,play,b'',,R reward
20-10-2019-19:18:50,,b'',,R reward
20-10-2019-19:19:00,play,b'',,R reward
20-10-2019-19:19:10,,b'',,R reward
20-10-2019-19:19:20,play,b'',,R reward
20-10-2019-19:19:30,,b'',,R reward
20-10-2019-19:19:40,play,b'',,R reward
20-10-2019-19:19:50,,b'',,R reward
20-10-2019-19:20:00,play,b'',,R reward
20-10-2019-19:20:10,,b'',,R reward
20-10-2019-19:20:20,play,b'',,R reward
20-10-2019-19:20:30,,b'',,R reward
20-10-2019-19:20:41,play,b'',,R reward
20-10-2019-19:20:51,,b'',,R reward
20-10-2019-19:21:01,play,b'',,R reward
20-10-2019-19:21:11,,b'',,R reward
20-10-2019-19:21:21,play,b'',,R reward
20-10-2019-19:21:31,,b'',,R reward
20-10-2019-19:21:41,play,b'',,R reward
20-10-2019-19:21:51,,b'',,R reward
20-10-2019-19:22:01,play,b'',,R reward
20-10-2019-19:22:11,,b'',,R reward
20-10-2019-19:22:21,play,b'',,R reward
20-10-2019-19:22:31,,b'',,R reward
20-10-2019-19:22:41,play,b'',,R reward
20-10-2019-19:22:51,,b'',,R reward
20-10-2019-19:23:01,play,b'',,R reward
20-10-2019-19:23:11,,b'',,R reward
20-10-2019-19:23:21,play,b'',,R reward
20-10-2019-19:23:31,,b'',,R reward
20-10-2019-19:23:41,play,b'',,R reward
20-10-2019-19:23:51,,b'',,R reward
20-10-2019-19:24:01,play,b'',,R reward
20-10-2019-19:24:11,,b'',,R reward
20-10-2019-19:24:21,play,b'',,R reward
20-10-2019-19:24:31,,b'',,R reward
20-10-2019-19:24:41,play,b'',,R reward
20-10-2019-19:24:51,,b'',,R reward
20-10-2019-19:25:01,play,b'',,R reward
20-10-2019-19:25:11,,b'',,R reward
20-10-2019-19:25:21,play,b'',,R reward
20-10-2019-19:25:31,,b'',,R reward
20-10-2019-19:25:41,play,b'',,R reward
20-10-2019-19:25:51,,b'',,R reward
20-10-2019-19:26:01,play,b'',,R reward
20-10-2019-19:26:11,,b'',,R reward
20-10-2019-19:26:21,play,b'',,R reward
20-10-2019-19:26:31,,b'',,R reward
20-10-2019-19:26:41,play,b'',,R reward
20-10-2019-19:26:51,,b'',,R reward
20-10-2019-19:27:01,play,b'',,R reward
20-10-2019-19:27:11,,b'',,R reward
20-10-2019-19:27:21,play,b'',,R reward
20-10-2019-19:27:31,,b'',,R reward
20-10-2019-19:27:41,play,b'',,R reward
20-10-2019-19:27:51,,b'',,R reward
20-10-2019-19:28:01,play,b'',,R reward
20-10-2019-19:28:11,,b'',,R reward
20-10-2019-19:28:22,play,b'',,R reward
20-10-2019-19:28:32,,b'',,R reward
20-10-2019-19:28:42,play,b'',,R reward
20-10-2019-19:28:52,,b'',,R reward
20-10-2019-19:29:02,play,b'',,R reward
20-10-2019-19:29:12,,b'',,R reward
20-10-2019-19:29:22,play,b'',,R reward
20-10-2019-19:29:32,,b'',,R reward
20-10-2019-19:29:42,play,b'',,R reward
20-10-2019-19:29:52,,b'',,R reward
20-10-2019-19:30:02,play,b'',,R reward
20-10-2019-19:30:12,,b'',,R reward
20-10-2019-19:30:22,play,b'',,R reward
20-10-2019-19:30:32,,b'',,R reward
20-10-2019-19:30:42,play,b'',,R reward
20-10-2019-19:30:52,,b'',,R reward
20-10-2019-19:31:02,play,b'',,R reward
20-10-2019-19:31:12,,b'',,R reward
20-10-2019-19:31:22,play,b'',,R reward
20-10-2019-19:31:32,,b'',,R reward
20-10-2019-19:31:42,play,b'',,R reward
20-10-2019-19:31:52,,b'',,R reward
20-10-2019-19:32:02,play,b'',,R reward
20-10-2019-19:32:12,,b'',,R reward
20-10-2019-19:32:22,play,b'',,R reward
20-10-2019-19:32:32,,b'',,R reward
20-10-2019-19:32:42,play,b'',,R reward
20-10-2019-19:32:52,,b'',,R reward
20-10-2019-19:33:02,play,b'',,R reward
20-10-2019-19:33:12,,b'',,R reward
20-10-2019-19:33:22,play,b'',,R reward
20-10-2019-19:33:32,,b'',,R reward
20-10-2019-19:33:42,play,b'',,R reward
20-10-2019-19:33:52,,b'',,R reward
20-10-2019-19:34:02,play,b'',,R reward
20-10-2019-19:34:12,,b'',,R reward
20-10-2019-19:34:22,play,b'',,R reward
20-10-2019-19:34:32,,b'',,R reward
20-10-2019-19:34:42,play,b'',,R reward
20-10-2019-19:34:52,,b'',,R reward
20-10-2019-19:35:02,play,b'',,R reward
20-10-2019-19:35:12,,b'',,R reward
20-10-2019-19:35:22,play,b'',,R reward
20-10-2019-19:35:32,,b'',,R reward
20-10-2019-19:35:42,play,b'',,R reward
20-10-2019-19:35:53,,b'',,R reward
20-10-2019-19:36:03,play,b'',,R reward
20-10-2019-19:36:13,,b'',,R reward
20-10-2019-19:36:23,play,b'',,R reward
20-10-2019-19:36:33,,b'',,R reward
20-10-2019-19:36:43,play,b'',,R reward
20-10-2019-19:36:53,,b'',,R reward
20-10-2019-19:37:03,play,b'',,R reward
20-10-2019-19:37:13,,b'',,R reward
20-10-2019-19:37:23,play,b'',,R reward
20-10-2019-19:37:33,,b'',,R reward
20-10-2019-19:37:43,play,b'',,R reward
20-10-2019-19:37:53,,b'',,R reward
20-10-2019-19:38:03,play,b'',,R reward
20-10-2019-19:38:13,,b'',,R reward
20-10-2019-19:38:16,,b'1',no 1,R reward
20-10-2019-19:38:17,,b'1',,R reward
20-10-2019-19:38:19,,b'1',,R reward
20-10-2019-19:38:29,play,b'',,R reward
20-10-2019-19:38:39,,b'',,R reward
20-10-2019-19:38:49,play,b'',,R reward
20-10-2019-19:38:59,,b'',,R reward
20-10-2019-19:39:09,play,b'1',no 1,R reward
20-10-2019-19:39:12,,b'1',,R reward
20-10-2019-19:39:13,,b'1',,R reward
20-10-2019-19:39:14,,b'1',,R reward
20-10-2019-19:39:15,,b'1',,R reward
20-10-2019-19:39:16,,b'1',,R reward
20-10-2019-19:39:17,,b'1',,R reward
20-10-2019-19:39:18,,b'1',,R reward
20-10-2019-19:39:19,,b'1',,R reward
20-10-2019-19:39:20,,b'1',,R reward
20-10-2019-19:39:21,,b'1',,R reward
20-10-2019-19:39:22,,b'1',,R reward
20-10-2019-19:39:23,,b'1',,R reward
20-10-2019-19:39:24,,b'1',,R reward
20-10-2019-19:39:25,,b'1',,R reward
20-10-2019-19:39:26,,b'1',,R reward
20-10-2019-19:39:27,,b'1',,R reward
20-10-2019-19:39:28,,b'1',,R reward
20-10-2019-19:39:29,,b'1',,R reward
20-10-2019-19:39:30,,b'1',,R reward
20-10-2019-19:39:31,,b'1',,R reward
20-10-2019-19:39:32,,b'1',,R reward
20-10-2019-19:39:33,,b'1',,R reward
20-10-2019-19:39:34,,b'1',,R reward
20-10-2019-19:39:35,,b'1',,R reward
20-10-2019-19:39:36,,b'1',,R reward
20-10-2019-19:39:37,,b'1',,R reward
20-10-2019-19:39:38,,b'1',,R reward
20-10-2019-19:39:39,,b'1',,R reward
20-10-2019-19:39:40,,b'1',,R reward
20-10-2019-19:39:41,,b'1',,R reward
20-10-2019-19:39:42,,b'1',,R reward
20-10-2019-19:39:43,,b'1',,R reward
20-10-2019-19:39:44,,b'1',,R reward
20-10-2019-19:39:45,,b'1',,R reward
20-10-2019-19:39:46,,b'1',,R reward
20-10-2019-19:39:47,,b'1',,R reward
20-10-2019-19:39:48,,b'1',,R reward
20-10-2019-19:39:49,,b'1',,R reward
20-10-2019-19:39:50,,b'1',,R reward
20-10-2019-19:39:51,,b'1',,R reward
20-10-2019-19:39:52,,b'1',,R reward
20-10-2019-19:39:53,,b'1',,R reward
20-10-2019-19:39:54,,b'1',,R reward
20-10-2019-19:39:55,,b'1',,R reward
20-10-2019-19:39:56,,b'1',,R reward
20-10-2019-19:39:57,,b'1',,R reward
20-10-2019-19:39:58,,b'1',,R reward
20-10-2019-19:39:59,,b'1',,R reward
20-10-2019-19:40:00,,b'1',,R reward
20-10-2019-19:40:01,,b'1',,R reward
20-10-2019-19:40:02,,b'1',,R reward
20-10-2019-19:40:03,,b'1',,R reward
20-10-2019-19:40:04,,b'1',,R reward
20-10-2019-19:40:05,,b'1',,R reward
20-10-2019-19:40:06,,b'1',,R reward
20-10-2019-19:40:07,,b'1',,R reward
20-10-2019-19:40:08,,b'1',,R reward
20-10-2019-19:40:09,,b'1',,R reward
20-10-2019-19:40:10,,b'1',,R reward
20-10-2019-19:40:11,,b'1',,R reward
20-10-2019-19:40:12,,b'1',,R reward
20-10-2019-19:40:13,,b'1',,R reward
20-10-2019-19:40:17,,b'1',,R reward
20-10-2019-19:40:18,,b'1',,R reward
20-10-2019-19:40:19,,b'1',,R reward
20-10-2019-19:40:20,,b'1',,R reward
20-10-2019-19:40:21,,b'1',,R reward
20-10-2019-19:40:22,,b'1',,R reward
20-10-2019-19:40:23,,b'1',,R reward
20-10-2019-19:40:24,,b'1',,R reward
20-10-2019-19:40:25,,b'1',,R reward
20-10-2019-19:40:26,,b'1',,R reward
20-10-2019-19:40:27,,b'1',,R reward
20-10-2019-19:40:28,,b'1',,R reward
20-10-2019-19:40:29,,b'1',,R reward
20-10-2019-19:40:30,,b'1',,R reward
20-10-2019-19:40:31,,b'1',,R reward
20-10-2019-19:40:32,,b'1',,R reward
20-10-2019-19:40:33,,b'1',,R reward
20-10-2019-19:40:34,,b'1',,R reward
20-10-2019-19:40:35,,b'1',,R reward
20-10-2019-19:40:36,,b'1',,R reward
20-10-2019-19:40:37,,b'1',,R reward
20-10-2019-19:40:38,,b'1',,R reward
20-10-2019-19:40:39,,b'1',,R reward
20-10-2019-19:40:40,,b'1',,R reward
20-10-2019-19:40:41,,b'1',,R reward
20-10-2019-19:40:42,,b'1',,R reward
20-10-2019-19:40:43,,b'1',,R reward
20-10-2019-19:40:50,,b'2',,R reward
20-10-2019-19:40:51,,b'2',,R reward
20-10-2019-19:40:52,,b'2',,R reward
20-10-2019-19:40:53,,b'2',,R reward
20-10-2019-19:40:54,,b'2',,R reward
20-10-2019-19:40:55,,b'2',,R reward
20-10-2019-19:40:56,,b'2',,R reward
20-10-2019-19:40:57,,b'2',,R reward
20-10-2019-19:40:58,,b'2',,R reward
20-10-2019-19:40:59,,b'2',,R reward
20-10-2019-19:41:00,,b'2',,R reward
20-10-2019-19:41:01,,b'2',,R reward
20-10-2019-19:41:02,,b'2',,R reward
20-10-2019-19:41:03,,b'2',,R reward
20-10-2019-19:41:04,,b'2',,R reward
20-10-2019-19:41:05,,b'2',,R reward
20-10-2019-19:41:06,,b'2',,R reward
20-10-2019-19:41:07,,b'2',,R reward
20-10-2019-19:41:08,,b'2',,R reward
20-10-2019-19:41:09,,b'2',,R reward
20-10-2019-19:41:10,,b'2',,R reward
20-10-2019-19:41:11,,b'2',,R reward
20-10-2019-19:41:12,,b'2',,R reward
20-10-2019-19:41:13,,b'2',,R reward
20-10-2019-19:41:14,,b'2',,R reward
20-10-2019-19:41:15,,b'2',,R reward
20-10-2019-19:41:16,,b'2',,R reward
20-10-2019-19:41:17,,b'2',,R reward
20-10-2019-19:41:18,,b'2',,R reward
20-10-2019-19:41:19,,b'2',,R reward
20-10-2019-19:41:20,,b'2',,R reward
20-10-2019-19:41:21,,b'2',,R reward
20-10-2019-19:41:22,,b'2',,R reward
20-10-2019-19:41:23,,b'2',,R reward
20-10-2019-19:41:24,,b'2',,R reward
20-10-2019-19:41:25,,b'2',,R reward
20-10-2019-19:41:26,,b'2',,R reward
20-10-2019-19:41:27,,b'2',,R reward
20-10-2019-19:41:28,,b'2',,R reward
20-10-2019-19:41:29,,b'2',,R reward
20-10-2019-19:41:30,,b'2',,R reward
20-10-2019-19:41:31,,b'2',,R reward
20-10-2019-19:41:32,,b'2',,R reward
20-10-2019-19:41:33,,b'2',,R reward
20-10-2019-19:41:34,,b'2',,R reward
20-10-2019-19:41:35,,b'2',,R reward
20-10-2019-19:41:36,,b'2',,R reward
20-10-2019-19:41:37,,b'2',,R reward
20-10-2019-19:41:38,,b'2',,R reward
20-10-2019-19:41:39,,b'2',,R reward
20-10-2019-19:41:40,,b'2',,R reward
20-10-2019-19:41:41,,b'2',,R reward
20-10-2019-19:41:42,,b'2',,R reward
20-10-2019-19:41:43,,b'2',,R reward
20-10-2019-19:41:44,,b'2',,R reward
20-10-2019-19:41:45,,b'2',,R reward
20-10-2019-19:41:46,,b'2',,R reward
20-10-2019-19:41:48,,b'2',,R reward
20-10-2019-19:41:49,,b'2',,R reward
20-10-2019-19:41:51,,b'2',,R reward
20-10-2019-19:41:52,,b'2',,R reward
20-10-2019-19:41:53,,b'2',,R reward
20-10-2019-19:41:54,,b'2',,R reward
20-10-2019-19:41:55,,b'2',,R reward
20-10-2019-19:41:56,,b'2',,R reward
20-10-2019-19:41:57,,b'2',,R reward
20-10-2019-19:41:58,,b'2',,R reward
20-10-2019-19:41:59,,b'2',,R reward
20-10-2019-19:42:00,,b'2',,R reward
20-10-2019-19:42:01,,b'2',,R reward
20-10-2019-19:42:02,,b'2',,R reward
20-10-2019-19:42:03,,b'2',,R reward
20-10-2019-19:42:04,,b'2',,R reward
20-10-2019-19:42:05,,b'2',,R reward
20-10-2019-19:42:06,,b'2',,R reward
20-10-2019-19:42:07,,b'2',,R reward
20-10-2019-19:42:08,,b'2',,R reward
20-10-2019-19:42:09,,b'2',,R reward
20-10-2019-19:42:10,,b'2',,R reward
20-10-2019-19:42:11,,b'2',,R reward
20-10-2019-19:42:12,,b'2',,R reward
20-10-2019-19:42:13,,b'2',,R reward
20-10-2019-19:42:14,,b'2',,R reward
20-10-2019-19:42:15,,b'2',,R reward
20-10-2019-19:42:16,,b'2',,R reward
20-10-2019-19:42:17,,b'2',,R reward
20-10-2019-19:42:18,,b'2',,R reward
20-10-2019-19:42:19,,b'2',,R reward
20-10-2019-19:42:29,play,b'',,R reward
20-10-2019-19:42:39,,b'',,R reward
20-10-2019-19:42:40,,b'2',2,R reward
20-10-2019-19:42:50,play,b'',,R reward
20-10-2019-19:43:00,,b'',,R reward
20-10-2019-19:43:08,,b'1',no 1,R reward
20-10-2019-19:43:14,,b'1',,R reward
20-10-2019-19:43:15,,b'1',,R reward
20-10-2019-19:43:16,,b'1',,R reward
20-10-2019-19:43:17,,b'1',,R reward
20-10-2019-19:43:18,,b'1',,R reward
20-10-2019-19:43:28,play,b'',,R reward
20-10-2019-19:43:38,,b'',,R reward
20-10-2019-19:43:48,play,b'',,R reward
20-10-2019-19:43:58,,b'',,R reward
20-10-2019-19:44:08,play,b'',,R reward
20-10-2019-19:44:18,,b'',,R reward
20-10-2019-19:44:28,play,b'',,R reward
20-10-2019-19:44:38,,b'',,R reward
20-10-2019-19:44:48,play,b'',,R reward
20-10-2019-19:44:58,,b'',,R reward
20-10-2019-19:45:08,play,b'',,R reward
20-10-2019-19:45:18,,b'',,R reward
20-10-2019-19:45:28,play,b'',,R reward
20-10-2019-19:45:38,,b'',,R reward
20-10-2019-19:45:48,play,b'',,R reward
20-10-2019-19:45:58,,b'',,R reward
20-10-2019-19:46:08,play,b'',,R reward
20-10-2019-19:46:18,,b'',,R reward
20-10-2019-19:46:28,play,b'',,R reward
20-10-2019-19:46:38,,b'',,R reward
20-10-2019-19:46:48,play,b'',,R reward
20-10-2019-19:46:58,,b'',,R reward
20-10-2019-19:47:08,play,b'',,R reward
20-10-2019-19:47:18,,b'',,R reward
20-10-2019-19:47:28,play,b'',,R reward
20-10-2019-19:47:38,,b'',,R reward
20-10-2019-19:47:48,play,b'',,R reward
20-10-2019-19:47:58,,b'',,R reward
20-10-2019-19:48:08,,b'',,R reward
20-10-2019-19:48:09,play,,,R reward
20-10-2019-19:48:19,,b'',,R reward
20-10-2019-19:48:29,play,b'',,R reward
20-10-2019-19:48:39,,b'',,R reward
20-10-2019-19:48:49,play,b'',,R reward
20-10-2019-19:48:59,,b'',,R reward
20-10-2019-19:49:09,play,b'',,R reward
20-10-2019-19:49:19,,b'',,R reward
20-10-2019-19:49:29,play,b'',,R reward
20-10-2019-19:49:39,,b'',,R reward
20-10-2019-19:49:49,play,b'',,R reward
20-10-2019-19:49:59,,b'',,R reward
20-10-2019-19:50:09,play,b'',,R reward
20-10-2019-19:50:19,,b'',,R reward
20-10-2019-19:50:29,play,b'',,R reward
20-10-2019-19:50:39,,b'',,R reward
20-10-2019-19:50:49,play,b'',,R reward
20-10-2019-19:50:59,,b'',,R reward
20-10-2019-19:51:09,play,b'',,R reward
20-10-2019-19:51:19,,b'',,R reward
20-10-2019-19:51:29,play,b'',,R reward
20-10-2019-19:51:39,,b'',,R reward
20-10-2019-19:51:49,play,b'',,R reward
20-10-2019-19:51:59,,b'',,R reward
20-10-2019-19:52:09,play,b'',,R reward
20-10-2019-19:52:19,,b'',,R reward
20-10-2019-19:52:29,play,b'',,R reward
20-10-2019-19:52:39,,b'',,R reward
20-10-2019-19:52:49,play,b'',,R reward
20-10-2019-19:52:59,,b'',,R reward
20-10-2019-19:53:09,play,b'',,R reward
20-10-2019-19:53:19,,b'',,R reward
20-10-2019-19:53:29,play,b'',,R reward
20-10-2019-19:53:39,,b'',,R reward
20-10-2019-19:53:49,play,b'',,R reward
20-10-2019-19:53:59,,b'',,R reward
20-10-2019-19:54:09,play,b'',,R reward
20-10-2019-19:54:19,,b'',,R reward
20-10-2019-19:54:29,play,b'',,R reward
20-10-2019-19:54:39,,b'',,R reward
20-10-2019-19:54:49,play,b'',,R reward
20-10-2019-19:54:59,,b'',,R reward
20-10-2019-19:55:09,,b'',,R reward
20-10-2019-19:55:10,play,,,R reward
20-10-2019-19:55:20,,b'',,R reward
20-10-2019-19:55:30,play,b'',,R reward
20-10-2019-19:55:40,,b'',,R reward
20-10-2019-19:55:50,play,b'',,R reward
20-10-2019-19:56:00,,b'',,R reward
20-10-2019-19:56:10,play,b'',,R reward
20-10-2019-19:56:20,,b'',,R reward
20-10-2019-19:56:30,play,b'',,R reward
20-10-2019-19:56:40,,b'',,R reward
20-10-2019-19:56:50,play,b'',,R reward
20-10-2019-19:57:00,,b'',,R reward
20-10-2019-19:57:10,play,b'',,R reward
20-10-2019-19:57:20,,b'',,R reward
20-10-2019-19:57:30,play,b'',,R reward
20-10-2019-19:57:40,,b'',,R reward
20-10-2019-19:57:50,play,b'',,R reward
20-10-2019-19:58:00,,b'',,R reward
20-10-2019-19:58:10,play,b'',,R reward
20-10-2019-19:58:20,,b'',,R reward
20-10-2019-19:58:30,play,b'',,R reward
20-10-2019-19:58:40,,b'',,R reward
20-10-2019-19:58:50,play,b'',,R reward
20-10-2019-19:58:55,,b'2',2,R reward
20-10-2019-19:59:05,,b'',,R reward
20-10-2019-19:59:15,play,b'',,R reward
20-10-2019-19:59:25,,b'',,R reward
20-10-2019-19:59:35,play,b'',,R reward
20-10-2019-19:59:45,,b'',,R reward
20-10-2019-19:59:55,play,b'',,R reward
20-10-2019-20:00:05,,b'',,R reward
20-10-2019-20:00:15,play,b'',,R reward
20-10-2019-20:00:25,,b'',,R reward
20-10-2019-20:00:36,play,b'',,R reward
20-10-2019-20:00:46,,b'',,R reward
20-10-2019-20:00:56,play,b'',,R reward
20-10-2019-20:01:06,,b'',,R reward
20-10-2019-20:01:16,play,b'',,R reward
20-10-2019-20:01:26,,b'',,R reward
20-10-2019-20:01:36,play,b'',,R reward
20-10-2019-20:01:46,,b'',,R reward
20-10-2019-20:01:56,play,b'',,R reward
20-10-2019-20:02:06,,b'',,R reward
20-10-2019-20:02:16,play,b'',,R reward
20-10-2019-20:02:26,,b'',,R reward
20-10-2019-20:02:36,play,b'',,R reward
20-10-2019-20:02:46,,b'',,R reward
20-10-2019-20:02:56,play,b'',,R reward
20-10-2019-20:03:06,,b'',,R reward
20-10-2019-20:03:16,play,b'',,R reward
20-10-2019-20:03:26,,b'',,R reward
20-10-2019-20:03:36,play,b'',,R reward
20-10-2019-20:03:46,,b'',,R reward
20-10-2019-20:03:56,play,b'',,R reward
20-10-2019-20:04:06,,b'',,R reward
20-10-2019-20:04:16,play,b'',,R reward
20-10-2019-20:04:26,,b'',,R reward
20-10-2019-20:04:36,play,b'',,R reward
20-10-2019-20:04:46,,b'',,R reward
20-10-2019-20:04:56,play,b'',,R reward
20-10-2019-20:05:00,,b'1',no 1,R reward
20-10-2019-20:05:02,,b'1',,R reward
20-10-2019-20:05:12,,b'',,R reward
20-10-2019-20:05:22,play,b'',,R reward
20-10-2019-20:05:32,,b'',,R reward
20-10-2019-20:05:38,,b'1',no 1,R reward
20-10-2019-20:05:44,,b'1',,R reward
20-10-2019-20:05:45,,b'1',,R reward
20-10-2019-20:05:49,,b'1',,R reward
20-10-2019-20:05:50,,b'1',,R reward
20-10-2019-20:05:58,,b'1',,R reward
20-10-2019-20:05:59,,b'1',,R reward
20-10-2019-20:06:09,play,b'',,R reward
20-10-2019-20:06:19,,b'',,R reward
20-10-2019-20:06:29,play,b'',,R reward
20-10-2019-20:06:39,,b'',,R reward
20-10-2019-20:06:49,play,b'',,R reward
20-10-2019-20:06:59,,b'',,R reward
20-10-2019-20:07:09,play,b'',,R reward
20-10-2019-20:07:19,,b'',,R reward
20-10-2019-20:07:29,play,b'',,R reward
20-10-2019-20:07:39,,b'',,R reward
20-10-2019-20:07:49,,b'',,R reward
20-10-2019-20:07:50,play,,,R reward
20-10-2019-20:07:58,,b'1',1,R reward
20-10-2019-20:07:59,,b'1',,R reward
20-10-2019-20:08:00,,b'1',,R reward
20-10-2019-20:08:01,,b'1',,R reward
20-10-2019-20:08:02,,b'1',,R reward
20-10-2019-20:08:03,,b'1',,R reward
20-10-2019-20:08:04,,b'1',,R reward
20-10-2019-20:08:05,,b'1',,R reward
20-10-2019-20:08:06,,b'1',,R reward
20-10-2019-20:08:07,,b'1',,R reward
20-10-2019-20:08:08,,b'1',,R reward
20-10-2019-20:08:09,,b'1',,R reward
20-10-2019-20:08:10,,b'1',,R reward
20-10-2019-20:08:11,,b'1',,R reward
20-10-2019-20:08:12,,b'1',,R reward
20-10-2019-20:08:13,,b'1',,R reward
20-10-2019-20:08:14,,b'1',,R reward
20-10-2019-20:08:15,,b'1',,R reward
20-10-2019-20:08:16,,b'1',,R reward
20-10-2019-20:08:17,,b'1',,R reward
20-10-2019-20:08:18,,b'1',,R reward
20-10-2019-20:08:19,,b'1',,R reward
20-10-2019-20:08:20,,b'1',,R reward
20-10-2019-20:08:21,,b'1',,R reward
20-10-2019-20:08:22,,b'1',,R reward
20-10-2019-20:08:23,,b'1',,R reward
20-10-2019-20:08:24,,b'1',,R reward
20-10-2019-20:08:25,,b'1',,R reward
20-10-2019-20:08:26,,b'1',,R reward
20-10-2019-20:08:27,,b'1',,R reward
20-10-2019-20:08:37,,b'',,R reward
20-10-2019-20:08:47,play,b'',,L reward
20-10-2019-20:08:57,,b'',,L reward
20-10-2019-20:09:07,play,b'',,L reward
20-10-2019-20:09:17,,b'',,L reward
20-10-2019-20:09:27,play,b'',,L reward
20-10-2019-20:09:37,,b'',,L reward
20-10-2019-20:09:47,play,b'',,L reward
20-10-2019-20:09:57,,b'',,L reward
20-10-2019-20:10:07,play,b'',,L reward
20-10-2019-20:10:17,,b'',,L reward
20-10-2019-20:10:27,play,b'',,L reward
20-10-2019-20:10:37,,b'',,L reward
20-10-2019-20:10:47,play,b'',,L reward
20-10-2019-20:10:57,,b'',,L reward
20-10-2019-20:11:08,play,b'',,L reward
20-10-2019-20:11:16,,b'2',no 2,L reward
20-10-2019-20:11:17,,b'2',,L reward
20-10-2019-20:11:18,,b'2',,L reward
20-10-2019-20:11:19,,b'2',,L reward
20-10-2019-20:11:20,,b'2',,L reward
20-10-2019-20:11:21,,b'2',,L reward
20-10-2019-20:11:22,,b'2',,L reward
20-10-2019-20:11:23,,b'2',,L reward
20-10-2019-20:11:24,,b'2',,L reward
20-10-2019-20:11:25,,b'2',,L reward
20-10-2019-20:11:26,,b'2',,L reward
20-10-2019-20:11:27,,b'2',,L reward
20-10-2019-20:11:28,,b'2',,L reward
20-10-2019-20:11:29,,b'2',,L reward
20-10-2019-20:11:30,,b'2',,L reward
20-10-2019-20:11:31,,b'2',,L reward
20-10-2019-20:11:32,,b'2',,L reward
20-10-2019-20:11:33,,b'2',,L reward
20-10-2019-20:11:34,,b'2',,L reward
20-10-2019-20:11:35,,b'2',,L reward
20-10-2019-20:11:36,,b'2',,L reward
20-10-2019-20:11:37,,b'2',,L reward
20-10-2019-20:11:38,,b'2',,L reward
20-10-2019-20:11:39,,b'2',,L reward
20-10-2019-20:11:40,,b'2',,L reward
20-10-2019-20:11:41,,b'2',,L reward
20-10-2019-20:11:42,,b'2',,L reward
20-10-2019-20:11:43,,b'2',,L reward
20-10-2019-20:11:44,,b'2',,L reward
20-10-2019-20:11:45,,b'2',,L reward
20-10-2019-20:11:46,,b'2',,L reward
20-10-2019-20:11:47,,b'2',,L reward
20-10-2019-20:11:48,,b'2',,L reward
20-10-2019-20:11:49,,b'2',,L reward
20-10-2019-20:11:50,,b'2',,L reward
20-10-2019-20:11:51,,b'2',,L reward
20-10-2019-20:11:52,,b'2',,L reward
20-10-2019-20:11:53,,b'2',,L reward
20-10-2019-20:12:03,play,b'',,L reward
20-10-2019-20:12:13,,b'',,L reward
20-10-2019-20:12:23,play,b'',,L reward
20-10-2019-20:12:33,,b'',,L reward
20-10-2019-20:12:43,play,b'',,L reward
20-10-2019-20:12:53,,b'',,L reward
20-10-2019-20:13:03,play,b'',,L reward
20-10-2019-20:13:13,,b'',,L reward
20-10-2019-20:13:23,play,b'',,L reward
20-10-2019-20:13:33,,b'',,L reward
20-10-2019-20:13:43,play,b'',,L reward
20-10-2019-20:13:53,,b'',,L reward
20-10-2019-20:14:03,play,b'',,L reward
20-10-2019-20:14:13,,b'',,L reward
20-10-2019-20:14:23,play,b'',,L reward
20-10-2019-20:14:33,,b'',,L reward
20-10-2019-20:14:43,play,b'',,L reward
20-10-2019-20:14:53,,b'',,L reward
20-10-2019-20:14:57,,b'1',no 1,L reward
20-10-2019-20:14:58,,b'1',,L reward
20-10-2019-20:15:00,,b'1',,L reward
20-10-2019-20:15:01,,b'1',,L reward
20-10-2019-20:15:02,,b'1',,L reward
20-10-2019-20:15:03,,b'1',,L reward
20-10-2019-20:15:04,,b'1',,L reward
20-10-2019-20:15:05,,b'1',,L reward
20-10-2019-20:15:06,,b'1',,L reward
