time,signal,feeder,pump,condition
20-10-2019-15:31:26,,b'',,R reward
20-10-2019-15:31:36,play,b'',,R reward
20-10-2019-15:31:46,,b'',,R reward
20-10-2019-15:31:56,play,b'',,R reward
20-10-2019-15:32:06,,b'',,R reward
20-10-2019-15:32:16,play,b'',,R reward
20-10-2019-15:32:26,,b'',,R reward
20-10-2019-15:32:36,play,b'',,R reward
20-10-2019-15:32:46,,b'',,R reward
20-10-2019-15:32:56,play,b'',,R reward
20-10-2019-15:33:06,,b'',,R reward
20-10-2019-15:33:16,play,b'',,R reward
20-10-2019-15:33:26,,b'',,R reward
20-10-2019-15:33:36,play,b'',,R reward
20-10-2019-15:33:46,,b'',,R reward
20-10-2019-15:33:56,play,b'',,R reward
20-10-2019-15:34:06,,b'',,R reward
20-10-2019-15:34:16,play,b'',,R reward
20-10-2019-15:34:26,,b'',,R reward
20-10-2019-15:34:36,play,b'',,R reward
20-10-2019-15:34:46,,b'',,R reward
20-10-2019-15:34:56,play,b'',,R reward
20-10-2019-15:35:06,,b'',,R reward
20-10-2019-15:35:16,play,b'',,R reward
20-10-2019-15:35:26,,b'',,R reward
20-10-2019-15:35:36,play,b'',,R reward
20-10-2019-15:35:46,,b'',,R reward
20-10-2019-15:35:56,play,b'',,R reward
20-10-2019-15:36:06,,b'',,R reward
20-10-2019-15:36:16,play,b'',,R reward
20-10-2019-15:36:26,,b'',,R reward
20-10-2019-15:36:36,play,b'',,R reward
20-10-2019-15:36:46,,b'',,R reward
20-10-2019-15:36:56,play,b'',,R reward
20-10-2019-15:37:06,,b'',,R reward
20-10-2019-15:37:16,play,b'',,R reward
20-10-2019-15:37:26,,b'',,R reward
20-10-2019-15:37:36,play,b'',,R reward
20-10-2019-15:37:46,,b'',,R reward
20-10-2019-15:37:56,play,b'',,R reward
20-10-2019-15:38:06,,b'',,R reward
20-10-2019-15:38:16,play,b'',,R reward
20-10-2019-15:38:26,,b'',,R reward
20-10-2019-15:38:36,play,b'',,R reward
20-10-2019-15:38:46,,b'',,R reward
20-10-2019-15:38:56,play,b'',,R reward
20-10-2019-15:39:06,,b'',,R reward
20-10-2019-15:39:16,play,b'',,R reward
20-10-2019-15:39:26,,b'',,R reward
20-10-2019-15:39:36,play,b'',,R reward
20-10-2019-15:39:46,,b'',,R reward
20-10-2019-15:39:56,play,b'',,R reward
20-10-2019-15:40:06,,b'',,R reward
20-10-2019-15:40:16,play,b'',,R reward
20-10-2019-15:40:26,,b'',,R reward
20-10-2019-15:40:36,play,b'',,R reward
20-10-2019-15:40:46,,b'',,R reward
20-10-2019-15:40:56,play,b'',,R reward
20-10-2019-15:41:06,,b'',,R reward
20-10-2019-15:41:16,play,b'',,R reward
20-10-2019-15:41:26,,b'',,R reward
20-10-2019-15:41:36,play,b'',,R reward
20-10-2019-15:41:46,,b'',,R reward
20-10-2019-15:41:56,play,b'',,R reward
20-10-2019-15:42:06,,b'',,R reward
20-10-2019-15:42:16,,b'',,R reward
20-10-2019-15:42:17,play,,,R reward
20-10-2019-15:42:27,,b'',,R reward
20-10-2019-15:42:37,play,b'',,R reward
20-10-2019-15:42:47,,b'',,R reward
20-10-2019-15:42:57,play,b'',,R reward
20-10-2019-15:43:07,,b'',,R reward
20-10-2019-15:43:17,play,b'',,R reward
20-10-2019-15:43:27,,b'',,R reward
20-10-2019-15:43:37,play,b'',,R reward
20-10-2019-15:43:47,,b'',,R reward
20-10-2019-15:43:57,play,b'',,R reward
20-10-2019-15:44:07,,b'',,R reward
20-10-2019-15:44:17,play,b'',,R reward
20-10-2019-15:44:27,,b'',,R reward
20-10-2019-15:44:37,play,b'',,R reward
20-10-2019-15:44:47,,b'',,R reward
20-10-2019-15:44:57,play,b'',,R reward
20-10-2019-15:45:07,,b'',,R reward
20-10-2019-15:45:17,play,b'',,R reward
20-10-2019-15:45:27,,b'',,R reward
20-10-2019-15:45:37,play,b'',,R reward
20-10-2019-15:45:47,,b'',,R reward
20-10-2019-15:45:57,play,b'',,R reward
20-10-2019-15:46:07,,b'',,R reward
20-10-2019-15:46:17,play,b'',,R reward
20-10-2019-15:46:27,,b'',,R reward
20-10-2019-15:46:37,play,b'',,R reward
20-10-2019-15:46:47,,b'',,R reward
20-10-2019-15:46:57,play,b'',,R reward
20-10-2019-15:47:07,,b'',,R reward
20-10-2019-15:47:17,play,b'',,R reward
20-10-2019-15:47:27,,b'',,R reward
20-10-2019-15:47:37,play,b'',,R reward
20-10-2019-15:47:47,,b'',,R reward
20-10-2019-15:47:57,play,b'',,R reward
20-10-2019-15:48:07,,b'',,R reward
20-10-2019-15:48:17,play,b'',,R reward
20-10-2019-15:48:27,,b'',,R reward
20-10-2019-15:48:37,play,b'',,R reward
20-10-2019-15:48:47,,b'',,R reward
20-10-2019-15:48:57,play,b'',,R reward
20-10-2019-15:49:07,,b'',,R reward
20-10-2019-15:49:17,play,b'',,R reward
20-10-2019-15:49:27,,b'',,R reward
