,signal,feeder,pump
07-05-2019-15:41:19,,b'',
07-05-2019-15:41:20,play,,
07-05-2019-15:41:23,,b'',
07-05-2019-15:41:24,,b'',
07-05-2019-15:41:25,,b'',
07-05-2019-15:41:26,,b'',
07-05-2019-15:41:27,,b'',
07-05-2019-15:41:28,,b'',
07-05-2019-15:41:29,,b'',
07-05-2019-15:41:30,,b'',
07-05-2019-15:41:31,,b'',
07-05-2019-15:41:32,play,b'',
07-05-2019-15:41:35,,b'',
07-05-2019-15:41:36,,b'',
07-05-2019-15:41:37,,b'',
07-05-2019-15:41:38,,b'',
07-05-2019-15:41:39,,b'',
07-05-2019-15:41:40,,b'',
07-05-2019-15:41:41,,b'',
07-05-2019-15:41:42,,b'',
07-05-2019-15:41:43,,b'',
07-05-2019-15:41:44,play,b'',
07-05-2019-15:41:47,,b'',
07-05-2019-15:41:48,,b'',
07-05-2019-15:41:49,,b'',
07-05-2019-15:41:50,,b'',
07-05-2019-15:41:51,,b'',
07-05-2019-15:41:52,,b'',
07-05-2019-15:41:53,,b'',
07-05-2019-15:41:54,,b'',
07-05-2019-15:41:55,,b'',
07-05-2019-15:41:56,play,b'',
07-05-2019-15:41:59,,b'',
07-05-2019-15:42:00,,b'',
07-05-2019-15:42:01,,b'',
07-05-2019-15:42:02,,b'',
07-05-2019-15:42:03,,b'',
07-05-2019-15:42:04,,b'',
07-05-2019-15:42:05,,b'',
07-05-2019-15:42:06,,b'',
07-05-2019-15:42:07,,b'',
07-05-2019-15:42:08,play,b'',
07-05-2019-15:42:11,,b'',
07-05-2019-15:42:12,,b'',
07-05-2019-15:42:13,,b'',
07-05-2019-15:42:14,,b'',
07-05-2019-15:42:15,,b'',
07-05-2019-15:42:16,,b'',
07-05-2019-15:42:17,,b'',
07-05-2019-15:42:18,,b'',
07-05-2019-15:42:19,,b'',
07-05-2019-15:42:20,play,b'',
07-05-2019-15:42:23,,b'',
07-05-2019-15:42:24,,b'',
07-05-2019-15:42:25,,b'',
07-05-2019-15:42:26,,b'',
