,signal,feeder,pump
06-05-2019-13:37:25,play,,
06-05-2019-13:37:40,play,,
06-05-2019-13:37:54,play,,
06-05-2019-13:38:09,,,1
06-05-2019-13:38:15,play,,
06-05-2019-13:38:30,,,2
06-05-2019-13:38:35,play,,
