,signal,feeder,pump
12-05-2019-19:45:20,play,b'',
12-05-2019-19:45:27,,b'',
12-05-2019-19:45:32,,b'',
12-05-2019-19:45:37,,b'',
12-05-2019-19:45:42,play,b'',
12-05-2019-19:45:49,,b'',
12-05-2019-19:45:55,,b'',
12-05-2019-19:46:00,,b'',
12-05-2019-19:46:05,play,b'',
12-05-2019-19:46:12,,b'',
12-05-2019-19:46:17,,b'',
12-05-2019-19:46:22,,b'',
12-05-2019-19:46:27,play,b'',
12-05-2019-19:46:34,,b'',
12-05-2019-19:46:39,,b'',
12-05-2019-19:46:44,,b'',
12-05-2019-19:46:49,play,b'',
12-05-2019-19:46:56,,b'',
12-05-2019-19:47:02,,b'',
12-05-2019-19:47:09,,b'',
12-05-2019-19:47:11,play,,
12-05-2019-19:47:19,,b'',
12-05-2019-19:47:24,,b'',
12-05-2019-19:47:29,,b'',
12-05-2019-19:47:34,play,b'',
12-05-2019-19:47:42,,b'',
12-05-2019-19:47:47,,b'',
12-05-2019-19:47:52,,b'',
12-05-2019-19:47:57,play,b'',
12-05-2019-19:48:04,,b'',
12-05-2019-19:48:09,,b'',
12-05-2019-19:48:14,,b'',
12-05-2019-19:48:20,,b'',
12-05-2019-19:48:22,play,,
12-05-2019-19:48:30,,b'',
12-05-2019-19:48:36,,b'',
12-05-2019-19:48:41,,b'',
12-05-2019-19:48:46,,b'',
12-05-2019-19:48:47,play,,
12-05-2019-19:48:55,,b'',
12-05-2019-19:49:02,,b'',
12-05-2019-19:49:08,,b'',
12-05-2019-19:49:13,play,b'',
12-05-2019-19:49:20,,b'',
12-05-2019-19:49:25,,b'',
12-05-2019-19:49:30,,b'',
12-05-2019-19:49:35,play,b'',
12-05-2019-19:49:42,,b'',
12-05-2019-19:49:47,,b'',
12-05-2019-19:49:52,,b'',
12-05-2019-19:49:57,play,b'',
12-05-2019-19:50:04,,b'',
12-05-2019-19:50:09,,b'',
12-05-2019-19:50:14,,b'',
12-05-2019-19:50:19,play,b'',
12-05-2019-19:50:26,,b'',
12-05-2019-19:50:31,,b'',
12-05-2019-19:50:36,,b'',
12-05-2019-19:50:41,play,b'',
12-05-2019-19:50:49,,b'',
12-05-2019-19:50:54,,b'',
12-05-2019-19:50:59,,b'',
12-05-2019-19:51:04,play,b'',
12-05-2019-19:51:11,,b'',
12-05-2019-19:51:16,,b'',
12-05-2019-19:51:21,,b'',
12-05-2019-19:51:26,play,b'',
12-05-2019-19:51:33,,b'',
12-05-2019-19:51:38,,b'',
12-05-2019-19:51:43,,b'',
12-05-2019-19:51:48,play,b'',
12-05-2019-19:51:55,,b'',
12-05-2019-19:52:00,,b'',
12-05-2019-19:52:05,,b'',
12-05-2019-19:52:10,play,b'',
12-05-2019-19:52:17,,b'',
12-05-2019-19:52:22,,b'',
12-05-2019-19:52:27,,b'',
12-05-2019-19:52:32,play,b'',
12-05-2019-19:52:39,,b'',
12-05-2019-19:52:44,,b'',
12-05-2019-19:52:49,,b'',
12-05-2019-19:52:54,play,b'',
12-05-2019-19:53:01,,b'',
12-05-2019-19:53:06,,b'',
12-05-2019-19:53:11,,b'',
12-05-2019-19:53:16,play,b'',
12-05-2019-19:53:23,,b'',
12-05-2019-19:53:28,,b'',
12-05-2019-19:53:33,,b'',
12-05-2019-19:53:38,play,b'',
12-05-2019-19:53:45,,b'',
12-05-2019-19:53:50,,b'',
12-05-2019-19:53:55,,b'',
12-05-2019-19:54:00,play,b'',
12-05-2019-19:54:08,,b'',
12-05-2019-19:54:13,,b'',
12-05-2019-19:54:18,,b'',
12-05-2019-19:54:23,play,b'',
12-05-2019-19:54:30,,b'',
12-05-2019-19:54:35,,b'',
12-05-2019-19:54:40,,b'',
12-05-2019-19:54:45,play,b'',
12-05-2019-19:54:52,,b'',
12-05-2019-19:54:57,,b'',
12-05-2019-19:55:02,,b'',
12-05-2019-19:55:07,play,b'',
12-05-2019-19:55:14,,b'',
12-05-2019-19:55:19,,b'',
12-05-2019-19:55:24,,b'',
12-05-2019-19:55:29,play,b'',
12-05-2019-19:55:36,,b'',
12-05-2019-19:55:41,,b'',
12-05-2019-19:55:46,,b'',
12-05-2019-19:55:51,play,b'',
12-05-2019-19:55:58,,b'',
12-05-2019-19:56:03,,b'',
12-05-2019-19:56:08,,b'',
12-05-2019-19:56:13,play,b'',
12-05-2019-19:56:20,,b'',
12-05-2019-19:56:25,,b'',
12-05-2019-19:56:30,,b'',
12-05-2019-19:56:35,play,b'',
12-05-2019-19:56:42,,b'',
12-05-2019-19:56:47,,b'',
12-05-2019-19:56:52,,b'',
12-05-2019-19:56:57,play,b'',
12-05-2019-19:57:04,,b'',
12-05-2019-19:57:09,,b'',
12-05-2019-19:57:14,,b'',
12-05-2019-19:57:19,play,b'',
12-05-2019-19:57:27,,b'',
12-05-2019-19:57:32,,b'',
12-05-2019-19:57:37,,b'',
12-05-2019-19:57:42,play,b'',
12-05-2019-19:57:49,,b'',
12-05-2019-19:57:54,,b'',
12-05-2019-19:57:59,,b'',
12-05-2019-19:58:04,play,b'',
12-05-2019-19:58:11,,b'',
12-05-2019-19:58:16,,b'',
12-05-2019-19:58:21,,b'',
12-05-2019-19:58:26,play,b'',
12-05-2019-19:58:33,,b'',
12-05-2019-19:58:38,,b'',
12-05-2019-19:58:43,,b'',
12-05-2019-19:58:48,play,b'',
12-05-2019-19:58:55,,b'',
12-05-2019-19:59:00,,b'',
12-05-2019-19:59:05,,b'',
12-05-2019-19:59:10,play,b'',
12-05-2019-19:59:17,,b'',
12-05-2019-19:59:22,,b'',
12-05-2019-19:59:27,,b'',
12-05-2019-19:59:32,play,b'',
12-05-2019-19:59:39,,b'',
12-05-2019-19:59:44,,b'',
12-05-2019-19:59:49,,b'',
12-05-2019-19:59:54,play,b'',
12-05-2019-20:00:01,,b'',
12-05-2019-20:00:06,,b'',
12-05-2019-20:00:11,,b'',
12-05-2019-20:00:16,play,b'',
12-05-2019-20:00:23,,b'',
12-05-2019-20:00:28,,b'',
12-05-2019-20:00:33,,b'',
12-05-2019-20:00:38,,b'',
12-05-2019-20:00:39,play,,
12-05-2019-20:00:46,,b'',
12-05-2019-20:00:51,,b'',
12-05-2019-20:00:56,,b'',
12-05-2019-20:01:01,play,b'',
12-05-2019-20:01:08,,b'',
12-05-2019-20:01:13,,b'',
12-05-2019-20:01:18,,b'',
12-05-2019-20:01:23,play,b'',
12-05-2019-20:01:30,,b'',
12-05-2019-20:01:35,,b'',
12-05-2019-20:01:40,,b'',
12-05-2019-20:01:45,play,b'',
12-05-2019-20:01:52,,b'',
12-05-2019-20:01:57,,b'',
12-05-2019-20:02:02,,b'',
12-05-2019-20:02:07,play,b'',
12-05-2019-20:02:14,,b'',
12-05-2019-20:02:19,,b'',
12-05-2019-20:02:24,,b'',
12-05-2019-20:02:29,play,b'',
12-05-2019-20:02:36,,b'',
12-05-2019-20:02:41,,b'',
12-05-2019-20:02:46,,b'',
12-05-2019-20:02:51,play,b'',
12-05-2019-20:02:58,,b'',
12-05-2019-20:03:03,,b'',
12-05-2019-20:03:08,,b'',
12-05-2019-20:03:13,play,b'',
12-05-2019-20:03:20,,b'',
12-05-2019-20:03:25,,b'',
12-05-2019-20:03:30,,b'',
12-05-2019-20:03:35,play,b'',
12-05-2019-20:03:42,,b'',
12-05-2019-20:03:47,,b'',
12-05-2019-20:03:52,,b'',
12-05-2019-20:03:57,,b'',
12-05-2019-20:03:58,play,,
12-05-2019-20:04:05,,b'',
12-05-2019-20:04:10,,b'',
12-05-2019-20:04:15,,b'',
12-05-2019-20:04:20,play,b'',
12-05-2019-20:04:27,,b'',
12-05-2019-20:04:32,,b'',
12-05-2019-20:04:37,,b'',
12-05-2019-20:04:42,play,b'',
12-05-2019-20:04:49,,b'',
12-05-2019-20:04:54,,b'',
12-05-2019-20:04:59,,b'',
12-05-2019-20:05:04,play,b'',
12-05-2019-20:05:11,,b'',
12-05-2019-20:05:16,,b'',
12-05-2019-20:05:21,,b'',
12-05-2019-20:05:25,,b'2',2
12-05-2019-20:05:30,play,b'',
12-05-2019-20:05:37,,b'',
12-05-2019-20:05:42,,b'',
12-05-2019-20:05:47,,b'',
12-05-2019-20:05:52,play,b'',
12-05-2019-20:05:59,,b'',
12-05-2019-20:06:04,,b'',
12-05-2019-20:06:09,,b'',
12-05-2019-20:06:14,play,b'',
12-05-2019-20:06:21,,b'',
12-05-2019-20:06:26,,b'',
12-05-2019-20:06:31,,b'',
12-05-2019-20:06:36,play,b'',
12-05-2019-20:06:43,,b'',
12-05-2019-20:06:48,,b'',
12-05-2019-20:06:53,,b'',
12-05-2019-20:06:58,play,b'',
12-05-2019-20:07:05,,b'',
12-05-2019-20:07:11,,b'',
12-05-2019-20:07:16,,b'',
12-05-2019-20:07:21,play,b'',
12-05-2019-20:07:28,,b'',
12-05-2019-20:07:33,,b'',
12-05-2019-20:07:38,,b'',
12-05-2019-20:07:43,play,b'',
12-05-2019-20:07:50,,b'',
12-05-2019-20:07:55,,b'',
12-05-2019-20:08:00,,b'',
12-05-2019-20:08:05,play,b'',
12-05-2019-20:08:12,,b'',
12-05-2019-20:08:17,,b'',
12-05-2019-20:08:22,,b'',
12-05-2019-20:08:27,play,b'',
12-05-2019-20:08:34,,b'',
12-05-2019-20:08:39,,b'',
12-05-2019-20:08:44,,b'',
12-05-2019-20:08:49,play,b'',
12-05-2019-20:08:56,,b'',
12-05-2019-20:09:01,,b'',
12-05-2019-20:09:06,,b'',
12-05-2019-20:09:11,play,b'',
12-05-2019-20:09:18,,b'',
12-05-2019-20:09:23,,b'',
12-05-2019-20:09:28,,b'',
12-05-2019-20:09:33,play,b'',
12-05-2019-20:09:40,,b'',
12-05-2019-20:09:45,,b'',
12-05-2019-20:09:50,,b'',
12-05-2019-20:09:55,play,b'',
12-05-2019-20:10:02,,b'',
12-05-2019-20:10:07,,b'',
12-05-2019-20:10:12,,b'',
12-05-2019-20:10:17,play,b'',
12-05-2019-20:10:25,,b'',
12-05-2019-20:10:30,,b'',
12-05-2019-20:10:35,,b'',
12-05-2019-20:10:40,play,b'',
12-05-2019-20:10:47,,b'',
12-05-2019-20:10:52,,b'',
12-05-2019-20:10:57,,b'',
12-05-2019-20:11:02,play,b'',
12-05-2019-20:11:09,,b'',
12-05-2019-20:11:14,,b'',
12-05-2019-20:11:19,,b'',
12-05-2019-20:11:24,play,b'',
12-05-2019-20:11:31,,b'',
12-05-2019-20:11:36,,b'',
12-05-2019-20:11:41,,b'',
12-05-2019-20:11:46,play,b'',
12-05-2019-20:11:53,,b'',
12-05-2019-20:11:58,,b'',
12-05-2019-20:12:03,,b'',
12-05-2019-20:12:08,play,b'',
12-05-2019-20:12:15,,b'',
12-05-2019-20:12:20,,b'',
12-05-2019-20:12:25,,b'',
12-05-2019-20:12:30,play,b'',
12-05-2019-20:12:37,,b'',
12-05-2019-20:12:42,,b'',
12-05-2019-20:12:47,,b'',
12-05-2019-20:12:52,play,b'',
12-05-2019-20:12:59,,b'',
12-05-2019-20:13:04,,b'',
12-05-2019-20:13:09,,b'',
12-05-2019-20:13:14,play,b'',
12-05-2019-20:13:21,,b'',
12-05-2019-20:13:26,,b'',
12-05-2019-20:13:31,,b'',
12-05-2019-20:13:37,play,b'',
12-05-2019-20:13:44,,b'',
12-05-2019-20:13:49,,b'',
12-05-2019-20:13:54,,b'',
12-05-2019-20:13:59,play,b'',
12-05-2019-20:14:06,,b'',
12-05-2019-20:14:11,,b'',
12-05-2019-20:14:16,,b'',
12-05-2019-20:14:21,play,b'',
12-05-2019-20:14:28,,b'',
12-05-2019-20:14:33,,b'',
12-05-2019-20:14:38,,b'',
12-05-2019-20:14:43,play,b'',
12-05-2019-20:14:50,,b'',
12-05-2019-20:14:55,,b'',
12-05-2019-20:15:00,,b'',
12-05-2019-20:15:05,play,b'',
12-05-2019-20:15:12,,b'',
12-05-2019-20:15:17,,b'',
12-05-2019-20:15:22,,b'',
12-05-2019-20:15:27,play,b'',
12-05-2019-20:15:34,,b'',
12-05-2019-20:15:39,,b'',
12-05-2019-20:15:44,,b'',
12-05-2019-20:15:49,play,b'',
12-05-2019-20:15:56,,b'',
12-05-2019-20:16:01,,b'',
12-05-2019-20:16:06,,b'',
12-05-2019-20:16:11,play,b'',
12-05-2019-20:16:18,,b'',
12-05-2019-20:16:23,,b'',
12-05-2019-20:16:28,,b'',
12-05-2019-20:16:33,play,b'',
12-05-2019-20:16:40,,b'',
12-05-2019-20:16:46,,b'',
12-05-2019-20:16:51,,b'',
12-05-2019-20:16:56,play,b'',
12-05-2019-20:17:03,,b'',
12-05-2019-20:17:08,,b'',
12-05-2019-20:17:13,,b'',
12-05-2019-20:17:18,play,b'',
12-05-2019-20:17:25,,b'',
12-05-2019-20:17:30,,b'',
12-05-2019-20:17:35,,b'',
12-05-2019-20:17:40,play,b'',
12-05-2019-20:17:47,,b'',
12-05-2019-20:17:49,,b'1',1
12-05-2019-20:17:50,,b'1',
12-05-2019-20:17:51,,b'1',
12-05-2019-20:17:52,,b'1',
12-05-2019-20:17:53,,b'1',
12-05-2019-20:17:54,,b'1',
12-05-2019-20:17:55,,b'1',
12-05-2019-20:17:56,,b'1',
12-05-2019-20:18:01,,b'',
12-05-2019-20:18:06,play,b'',
12-05-2019-20:18:13,,b'',
12-05-2019-20:18:18,,b'',
12-05-2019-20:18:23,,b'',
12-05-2019-20:18:28,play,b'',
12-05-2019-20:18:35,,b'',
12-05-2019-20:18:40,,b'',
12-05-2019-20:18:45,,b'',
12-05-2019-20:18:50,play,b'',
12-05-2019-20:18:57,,b'',
12-05-2019-20:19:02,,b'',
12-05-2019-20:19:07,,b'',
12-05-2019-20:19:12,play,b'',
12-05-2019-20:19:19,,b'',
12-05-2019-20:19:24,,b'',
12-05-2019-20:19:29,,b'',
12-05-2019-20:19:34,play,b'',
12-05-2019-20:19:41,,b'',
12-05-2019-20:19:46,,b'',
12-05-2019-20:19:51,,b'',
12-05-2019-20:19:56,play,b'',
12-05-2019-20:20:03,,b'',
12-05-2019-20:20:08,,b'',
12-05-2019-20:20:13,,b'',
12-05-2019-20:20:18,play,b'',
12-05-2019-20:20:25,,b'',
12-05-2019-20:20:30,,b'',
12-05-2019-20:20:35,,b'',
12-05-2019-20:20:40,play,b'',
12-05-2019-20:20:48,,b'',
12-05-2019-20:20:53,,b'',
12-05-2019-20:20:58,,b'',
12-05-2019-20:21:03,play,b'',
12-05-2019-20:21:10,,b'',
12-05-2019-20:21:15,,b'',
12-05-2019-20:21:20,,b'',
12-05-2019-20:21:25,play,b'',
12-05-2019-20:21:32,,b'',
12-05-2019-20:21:37,,b'',
12-05-2019-20:21:42,,b'',
12-05-2019-20:21:47,play,b'',
12-05-2019-20:21:54,,b'',
12-05-2019-20:21:59,,b'',
12-05-2019-20:22:04,,b'',
12-05-2019-20:22:09,play,b'',
12-05-2019-20:22:12,,b'2',2
12-05-2019-20:22:13,,b'2',
12-05-2019-20:22:18,,b'',
12-05-2019-20:22:23,,b'',
12-05-2019-20:22:28,,b'',
12-05-2019-20:22:33,play,b'',
12-05-2019-20:22:40,,b'',
12-05-2019-20:22:45,,b'',
12-05-2019-20:22:50,,b'',
12-05-2019-20:22:55,play,b'',
12-05-2019-20:23:02,,b'',
12-05-2019-20:23:07,,b'',
12-05-2019-20:23:13,,b'',
12-05-2019-20:23:18,play,b'',
12-05-2019-20:23:25,,b'',
12-05-2019-20:23:30,,b'',
12-05-2019-20:23:35,,b'',
12-05-2019-20:23:40,play,b'',
12-05-2019-20:23:47,,b'',
12-05-2019-20:23:52,,b'',
12-05-2019-20:23:57,,b'',
12-05-2019-20:24:02,play,b'',
12-05-2019-20:24:09,,b'',
12-05-2019-20:24:14,,b'',
12-05-2019-20:24:19,,b'',
12-05-2019-20:24:24,play,b'',
12-05-2019-20:24:29,,b'1',1
12-05-2019-20:24:34,,b'',
12-05-2019-20:24:39,,b'',
12-05-2019-20:24:44,,b'',
12-05-2019-20:24:49,play,b'',
12-05-2019-20:24:56,,b'',
12-05-2019-20:25:01,,b'',
12-05-2019-20:25:06,,b'',
12-05-2019-20:25:11,play,b'',
12-05-2019-20:25:18,,b'',
12-05-2019-20:25:23,,b'',
12-05-2019-20:25:28,,b'',
12-05-2019-20:25:33,play,b'',
12-05-2019-20:25:40,,b'',
12-05-2019-20:25:45,,b'',
12-05-2019-20:25:50,,b'',
12-05-2019-20:25:55,play,b'',
12-05-2019-20:26:02,,b'',
12-05-2019-20:26:07,,b'',
12-05-2019-20:26:12,,b'',
12-05-2019-20:26:18,play,b'',
12-05-2019-20:26:25,,b'',
12-05-2019-20:26:30,,b'',
12-05-2019-20:26:35,,b'',
12-05-2019-20:26:40,play,b'',
12-05-2019-20:26:47,,b'',
12-05-2019-20:26:52,,b'',
12-05-2019-20:26:57,,b'',
12-05-2019-20:27:02,play,b'',
12-05-2019-20:27:09,,b'',
12-05-2019-20:27:14,,b'',
12-05-2019-20:27:19,,b'',
12-05-2019-20:27:24,play,b'',
12-05-2019-20:27:29,,b'2',2
12-05-2019-20:27:34,,b'',
12-05-2019-20:27:38,,b'2',
12-05-2019-20:27:43,,b'',
12-05-2019-20:27:48,play,b'',
12-05-2019-20:27:55,,b'',
12-05-2019-20:28:00,,b'',
12-05-2019-20:28:05,,b'',
12-05-2019-20:28:10,play,b'',
12-05-2019-20:28:17,,b'',
12-05-2019-20:28:22,,b'',
12-05-2019-20:28:27,,b'',
12-05-2019-20:28:32,play,b'',
12-05-2019-20:28:39,,b'',
12-05-2019-20:28:44,,b'',
12-05-2019-20:28:49,,b'',
12-05-2019-20:28:54,,b'',
12-05-2019-20:28:55,play,,
12-05-2019-20:29:02,,b'',
12-05-2019-20:29:07,,b'',
12-05-2019-20:29:12,,b'',
12-05-2019-20:29:17,play,b'',
12-05-2019-20:29:24,,b'',
12-05-2019-20:29:29,,b'',
12-05-2019-20:29:34,,b'',
12-05-2019-20:29:39,play,b'',
12-05-2019-20:29:46,,b'',
12-05-2019-20:29:51,,b'',
12-05-2019-20:29:56,,b'',
12-05-2019-20:30:01,play,b'',
12-05-2019-20:30:08,,b'',
12-05-2019-20:30:13,,b'',
12-05-2019-20:30:18,,b'',
12-05-2019-20:30:23,play,b'',
12-05-2019-20:30:30,,b'',
12-05-2019-20:30:35,,b'',
12-05-2019-20:30:40,,b'',
12-05-2019-20:30:45,play,b'',
12-05-2019-20:30:52,,b'',
12-05-2019-20:30:57,,b'',
12-05-2019-20:31:02,,b'',
12-05-2019-20:31:07,play,b'',
12-05-2019-20:31:14,,b'',
12-05-2019-20:31:19,,b'',
12-05-2019-20:31:24,,b'',
12-05-2019-20:31:29,play,b'',
12-05-2019-20:31:36,,b'',
12-05-2019-20:31:41,,b'',
12-05-2019-20:31:46,,b'',
12-05-2019-20:31:51,play,b'',
12-05-2019-20:31:58,,b'',
12-05-2019-20:32:04,,b'',
12-05-2019-20:32:09,,b'',
12-05-2019-20:32:14,play,b'',
12-05-2019-20:32:21,,b'',
12-05-2019-20:32:26,,b'',
12-05-2019-20:32:31,,b'',
12-05-2019-20:32:36,play,b'',
12-05-2019-20:32:43,,b'',
12-05-2019-20:32:48,,b'',
12-05-2019-20:32:53,,b'',
12-05-2019-20:32:58,play,b'',
12-05-2019-20:33:05,,b'',
12-05-2019-20:33:09,,b'2',2
12-05-2019-20:33:12,,b'2',
12-05-2019-20:33:13,,b'2',
12-05-2019-20:33:18,,b'',
12-05-2019-20:33:23,play,b'',
12-05-2019-20:33:30,,b'',
12-05-2019-20:33:35,,b'',
12-05-2019-20:33:40,,b'',
12-05-2019-20:33:45,play,b'',
12-05-2019-20:33:52,,b'',
12-05-2019-20:33:57,,b'',
12-05-2019-20:34:02,,b'',
12-05-2019-20:34:07,play,b'',
12-05-2019-20:34:14,,b'',
12-05-2019-20:34:19,,b'',
12-05-2019-20:34:24,,b'',
12-05-2019-20:34:29,play,b'',
12-05-2019-20:34:36,,b'',
12-05-2019-20:34:41,,b'',
12-05-2019-20:34:46,,b'',
12-05-2019-20:34:51,play,b'',
12-05-2019-20:34:58,,b'',
12-05-2019-20:35:03,,b'',
12-05-2019-20:35:08,,b'',
12-05-2019-20:35:13,play,b'',
12-05-2019-20:35:20,,b'',
12-05-2019-20:35:25,,b'',
12-05-2019-20:35:30,,b'',
12-05-2019-20:35:35,,b'',
12-05-2019-20:35:36,play,,
12-05-2019-20:35:43,,b'',
12-05-2019-20:35:48,,b'',
12-05-2019-20:35:53,,b'',
12-05-2019-20:35:58,play,b'',
12-05-2019-20:36:05,,b'',
12-05-2019-20:36:10,,b'',
12-05-2019-20:36:15,,b'',
12-05-2019-20:36:20,play,b'',
12-05-2019-20:36:27,,b'',
12-05-2019-20:36:32,,b'',
12-05-2019-20:36:37,,b'',
12-05-2019-20:36:42,play,b'',
12-05-2019-20:36:49,,b'',
12-05-2019-20:36:54,,b'',
12-05-2019-20:36:59,,b'',
12-05-2019-20:37:04,play,b'',
12-05-2019-20:37:09,,b'2',2
12-05-2019-20:37:11,,b'2',
12-05-2019-20:37:12,,b'2',
12-05-2019-20:37:13,,b'2',
12-05-2019-20:37:14,,b'2',
12-05-2019-20:37:15,,b'2',
12-05-2019-20:37:16,,b'2',
12-05-2019-20:37:17,,b'2',
12-05-2019-20:37:22,,b'',
12-05-2019-20:37:27,play,b'',
12-05-2019-20:37:34,,b'',
12-05-2019-20:37:39,,b'',
12-05-2019-20:37:44,,b'',
12-05-2019-20:37:49,play,b'',
12-05-2019-20:37:56,,b'',
12-05-2019-20:37:59,,b'2',2
12-05-2019-20:38:03,,b'2',
12-05-2019-20:38:08,,b'',
12-05-2019-20:38:13,play,b'',
12-05-2019-20:38:20,,b'',
12-05-2019-20:38:25,,b'',
12-05-2019-20:38:30,,b'',
12-05-2019-20:38:35,play,b'',
12-05-2019-20:38:42,,b'',
12-05-2019-20:38:47,,b'',
12-05-2019-20:38:52,,b'',
12-05-2019-20:38:57,play,b'',
12-05-2019-20:39:04,,b'',
12-05-2019-20:39:09,,b'',
12-05-2019-20:39:14,,b'',
12-05-2019-20:39:19,play,b'',
12-05-2019-20:39:26,,b'',
12-05-2019-20:39:31,,b'',
12-05-2019-20:39:36,,b'',
12-05-2019-20:39:41,play,b'',
12-05-2019-20:39:48,,b'',
12-05-2019-20:39:53,,b'',
12-05-2019-20:39:58,,b'',
12-05-2019-20:40:03,play,b'',
12-05-2019-20:40:10,,b'',
12-05-2019-20:40:15,,b'',
12-05-2019-20:40:20,,b'',
12-05-2019-20:40:25,play,b'',
12-05-2019-20:40:32,,b'',
12-05-2019-20:40:37,,b'',
12-05-2019-20:40:43,,b'',
12-05-2019-20:40:48,play,b'',
12-05-2019-20:40:55,,b'',
12-05-2019-20:41:00,,b'',
12-05-2019-20:41:05,,b'',
12-05-2019-20:41:10,play,b'',
12-05-2019-20:41:17,,b'',
12-05-2019-20:41:22,,b'',
12-05-2019-20:41:27,,b'',
12-05-2019-20:41:32,play,b'',
12-05-2019-20:41:39,,b'',
12-05-2019-20:41:44,,b'',
12-05-2019-20:41:49,,b'',
12-05-2019-20:41:54,play,b'',
12-05-2019-20:42:01,,b'',
12-05-2019-20:42:06,,b'',
12-05-2019-20:42:11,,b'',
12-05-2019-20:42:16,play,b'',
12-05-2019-20:42:23,,b'',
12-05-2019-20:42:28,,b'',
12-05-2019-20:42:33,,b'',
12-05-2019-20:42:38,play,b'',
12-05-2019-20:42:45,,b'',
12-05-2019-20:42:50,,b'',
12-05-2019-20:42:55,,b'',
12-05-2019-20:43:00,play,b'',
12-05-2019-20:43:07,,b'',
12-05-2019-20:43:12,,b'',
12-05-2019-20:43:17,,b'',
12-05-2019-20:43:22,play,b'',
12-05-2019-20:43:29,,b'',
12-05-2019-20:43:35,,b'',
12-05-2019-20:43:40,,b'',
12-05-2019-20:43:45,play,b'',
12-05-2019-20:43:52,,b'',
12-05-2019-20:43:57,,b'',
12-05-2019-20:44:02,,b'',
12-05-2019-20:44:07,play,b'',
12-05-2019-20:44:14,,b'',
12-05-2019-20:44:19,,b'',
12-05-2019-20:44:24,,b'',
12-05-2019-20:44:29,play,b'',
12-05-2019-20:44:36,,b'',
12-05-2019-20:44:41,,b'',
12-05-2019-20:44:46,,b'',
12-05-2019-20:44:51,play,b'',
12-05-2019-20:44:58,,b'',
12-05-2019-20:45:03,,b'',
12-05-2019-20:45:08,,b'',
12-05-2019-20:45:13,play,b'',
12-05-2019-20:45:20,,b'',
12-05-2019-20:45:25,,b'',
12-05-2019-20:45:30,,b'',
12-05-2019-20:45:35,play,b'',
12-05-2019-20:45:42,,b'',
12-05-2019-20:45:47,,b'',
12-05-2019-20:45:52,,b'',
12-05-2019-20:45:57,play,b'',
12-05-2019-20:46:04,,b'',
12-05-2019-20:46:09,,b'',
12-05-2019-20:46:14,,b'',
12-05-2019-20:46:19,play,b'',
12-05-2019-20:46:27,,b'',
12-05-2019-20:46:32,,b'',
12-05-2019-20:46:37,,b'',
12-05-2019-20:46:42,play,b'',
12-05-2019-20:46:49,,b'',
12-05-2019-20:46:54,,b'',
12-05-2019-20:46:59,,b'',
12-05-2019-20:47:04,play,b'',
12-05-2019-20:47:11,,b'',
12-05-2019-20:47:16,,b'',
12-05-2019-20:47:21,,b'',
12-05-2019-20:47:26,play,b'',
12-05-2019-20:47:33,,b'',
12-05-2019-20:47:38,,b'',
12-05-2019-20:47:43,,b'',
12-05-2019-20:47:48,play,b'',
12-05-2019-20:47:55,,b'',
12-05-2019-20:48:00,,b'',
12-05-2019-20:48:05,,b'',
12-05-2019-20:48:10,play,b'',
12-05-2019-20:48:17,,b'',
12-05-2019-20:48:22,,b'',
12-05-2019-20:48:27,,b'',
12-05-2019-20:48:32,play,b'',
12-05-2019-20:48:39,,b'',
12-05-2019-20:48:44,,b'1',1
12-05-2019-20:48:45,,b'1',
12-05-2019-20:48:46,,b'1',
12-05-2019-20:48:47,,b'1',
12-05-2019-20:48:48,,b'1',
12-05-2019-20:48:49,,b'1',
12-05-2019-20:48:50,,b'1',
12-05-2019-20:48:51,,b'1',
12-05-2019-20:48:52,,b'1',
12-05-2019-20:48:57,play,b'',
12-05-2019-20:49:04,,b'',
12-05-2019-20:49:05,,b'2',2
12-05-2019-20:49:06,,b'2',
12-05-2019-20:49:07,,b'2',
12-05-2019-20:49:08,,b'2',
12-05-2019-20:49:09,,b'2',
12-05-2019-20:49:14,,b'',
12-05-2019-20:49:19,play,b'',
12-05-2019-20:49:26,,b'',
12-05-2019-20:49:31,,b'',
12-05-2019-20:49:36,,b'',
12-05-2019-20:49:41,play,b'',
12-05-2019-20:49:48,,b'',
12-05-2019-20:49:54,,b'',
12-05-2019-20:49:59,,b'',
12-05-2019-20:50:04,play,b'',
12-05-2019-20:50:11,,b'',
12-05-2019-20:50:16,,b'',
12-05-2019-20:50:21,,b'',
12-05-2019-20:50:26,play,b'',
12-05-2019-20:50:33,,b'',
12-05-2019-20:50:38,,b'',
12-05-2019-20:50:43,,b'',
12-05-2019-20:50:48,play,b'',
12-05-2019-20:50:55,,b'',
12-05-2019-20:51:00,,b'',
12-05-2019-20:51:05,,b'',
12-05-2019-20:51:10,play,b'',
12-05-2019-20:51:17,,b'',
12-05-2019-20:51:22,,b'',
12-05-2019-20:51:27,,b'',
12-05-2019-20:51:32,play,b'',
12-05-2019-20:51:39,,b'',
12-05-2019-20:51:44,,b'',
12-05-2019-20:51:49,,b'',
12-05-2019-20:51:54,play,b'',
12-05-2019-20:52:01,,b'',
12-05-2019-20:52:06,,b'',
12-05-2019-20:52:11,,b'',
12-05-2019-20:52:16,play,b'',
12-05-2019-20:52:23,,b'',
12-05-2019-20:52:28,,b'',
12-05-2019-20:52:33,,b'',
12-05-2019-20:52:38,play,b'',
12-05-2019-20:52:45,,b'',
12-05-2019-20:52:51,,b'',
