,signal,feeder,pump
12-05-2019-17:04:22,,b'',
12-05-2019-17:04:27,,b'',
12-05-2019-17:04:32,,b'',
12-05-2019-17:04:37,play,b'',
12-05-2019-17:04:44,,b'',
12-05-2019-17:04:49,,b'',
12-05-2019-17:04:54,,b'',
12-05-2019-17:04:59,play,b'',
12-05-2019-17:05:06,,b'',
12-05-2019-17:05:11,,b'',
12-05-2019-17:05:16,,b'',
12-05-2019-17:05:21,play,b'',
12-05-2019-17:05:28,,b'',
12-05-2019-17:05:33,,b'',
12-05-2019-17:05:38,,b'',
12-05-2019-17:05:43,play,b'',
12-05-2019-17:05:50,,b'',
12-05-2019-17:05:55,,b'',
12-05-2019-17:06:00,,b'',
12-05-2019-17:06:05,play,b'',
12-05-2019-17:06:12,,b'',
12-05-2019-17:06:17,,b'',
12-05-2019-17:06:22,,b'',
12-05-2019-17:06:27,play,b'',
12-05-2019-17:06:34,,b'',
12-05-2019-17:06:39,,b'',
12-05-2019-17:06:44,,b'',
12-05-2019-17:06:49,play,b'',
12-05-2019-17:06:56,,b'',
12-05-2019-17:07:01,,b'',
12-05-2019-17:07:06,,b'',
12-05-2019-17:07:11,play,b'',
12-05-2019-17:07:18,,b'',
12-05-2019-17:07:23,,b'',
12-05-2019-17:07:28,,b'',
12-05-2019-17:07:33,play,b'',
12-05-2019-17:07:40,,b'',
12-05-2019-17:07:45,,b'',
12-05-2019-17:07:50,,b'',
12-05-2019-17:07:55,play,b'',
12-05-2019-17:08:02,,b'',
12-05-2019-17:08:07,,b'',
12-05-2019-17:08:12,,b'',
12-05-2019-17:08:17,play,b'',
12-05-2019-17:08:24,,b'',
12-05-2019-17:08:29,,b'',
12-05-2019-17:08:34,,b'',
12-05-2019-17:08:39,play,b'',
12-05-2019-17:08:46,,b'',
12-05-2019-17:08:51,,b'',
12-05-2019-17:08:56,,b'',
12-05-2019-17:09:01,,b'',
12-05-2019-17:09:02,play,,
12-05-2019-17:09:09,,b'',
12-05-2019-17:09:14,,b'',
12-05-2019-17:09:19,,b'',
12-05-2019-17:09:24,play,b'',
12-05-2019-17:09:31,,b'',
12-05-2019-17:09:36,,b'',
12-05-2019-17:09:41,,b'',
12-05-2019-17:09:46,play,b'',
12-05-2019-17:09:53,,b'',
12-05-2019-17:09:58,,b'',
12-05-2019-17:10:03,,b'',
12-05-2019-17:10:08,play,b'',
12-05-2019-17:10:15,,b'',
12-05-2019-17:10:20,,b'',
12-05-2019-17:10:25,,b'',
12-05-2019-17:10:30,play,b'',
12-05-2019-17:10:37,,b'',
12-05-2019-17:10:42,,b'',
12-05-2019-17:10:47,,b'',
12-05-2019-17:10:52,play,b'',
12-05-2019-17:10:59,,b'',
12-05-2019-17:11:04,,b'',
12-05-2019-17:11:09,,b'',
12-05-2019-17:11:14,play,b'',
12-05-2019-17:11:21,,b'',
12-05-2019-17:11:26,,b'',
12-05-2019-17:11:31,,b'',
12-05-2019-17:11:36,play,b'',
12-05-2019-17:11:43,,b'',
12-05-2019-17:11:48,,b'',
12-05-2019-17:11:53,,b'',
12-05-2019-17:11:58,play,b'',
12-05-2019-17:12:05,,b'',
12-05-2019-17:12:10,,b'',
12-05-2019-17:12:15,,b'',
12-05-2019-17:12:20,play,b'',
12-05-2019-17:12:27,,b'',
12-05-2019-17:12:32,,b'',
12-05-2019-17:12:37,,b'',
12-05-2019-17:12:42,play,b'',
12-05-2019-17:12:49,,b'',
12-05-2019-17:12:54,,b'',
12-05-2019-17:12:59,,b'',
12-05-2019-17:13:04,play,b'',
12-05-2019-17:13:11,,b'',
12-05-2019-17:13:16,,b'',
12-05-2019-17:13:21,,b'',
12-05-2019-17:13:26,play,b'',
12-05-2019-17:13:33,,b'',
12-05-2019-17:13:38,,b'',
12-05-2019-17:13:43,,b'',
12-05-2019-17:13:48,play,b'',
12-05-2019-17:13:55,,b'',
12-05-2019-17:14:00,,b'',
12-05-2019-17:14:05,,b'',
12-05-2019-17:14:10,play,b'',
12-05-2019-17:14:18,,b'',
12-05-2019-17:14:23,,b'',
12-05-2019-17:14:28,,b'',
12-05-2019-17:14:33,play,b'',
12-05-2019-17:14:40,,b'',
12-05-2019-17:14:45,,b'',
12-05-2019-17:14:50,,b'',
12-05-2019-17:14:55,play,b'',
12-05-2019-17:15:02,,b'',
12-05-2019-17:15:07,,b'',
12-05-2019-17:15:12,,b'',
12-05-2019-17:15:17,play,b'',
12-05-2019-17:15:24,,b'',
12-05-2019-17:15:29,,b'',
12-05-2019-17:15:34,,b'',
12-05-2019-17:15:39,play,b'',
12-05-2019-17:15:46,,b'',
12-05-2019-17:15:51,,b'',
12-05-2019-17:15:56,,b'',
12-05-2019-17:16:01,play,b'',
12-05-2019-17:16:08,,b'',
12-05-2019-17:16:13,,b'',
12-05-2019-17:16:18,,b'',
12-05-2019-17:16:23,play,b'',
12-05-2019-17:16:30,,b'',
12-05-2019-17:16:35,,b'',
12-05-2019-17:16:40,,b'',
12-05-2019-17:16:45,play,b'',
12-05-2019-17:16:52,,b'',
12-05-2019-17:16:57,,b'',
12-05-2019-17:17:02,,b'',
12-05-2019-17:17:07,play,b'',
12-05-2019-17:17:14,,b'',
12-05-2019-17:17:19,,b'',
12-05-2019-17:17:24,,b'',
12-05-2019-17:17:29,play,b'',
12-05-2019-17:17:36,,b'',
12-05-2019-17:17:41,,b'',
12-05-2019-17:17:46,,b'',
12-05-2019-17:17:51,play,b'',
12-05-2019-17:17:58,,b'',
12-05-2019-17:18:03,,b'',
12-05-2019-17:18:08,,b'',
12-05-2019-17:18:13,play,b'',
12-05-2019-17:18:20,,b'',
12-05-2019-17:18:25,,b'',
12-05-2019-17:18:30,,b'',
12-05-2019-17:18:35,play,b'',
12-05-2019-17:18:42,,b'',
12-05-2019-17:18:47,,b'',
12-05-2019-17:18:52,,b'',
12-05-2019-17:18:57,play,b'',
12-05-2019-17:19:04,,b'',
12-05-2019-17:19:09,,b'',
12-05-2019-17:19:15,,b'',
12-05-2019-17:19:20,play,b'',
12-05-2019-17:19:27,,b'',
12-05-2019-17:19:32,,b'',
12-05-2019-17:19:37,,b'',
12-05-2019-17:19:42,play,b'',
12-05-2019-17:19:49,,b'',
12-05-2019-17:19:54,,b'',
12-05-2019-17:19:59,,b'',
12-05-2019-17:20:04,play,b'',
12-05-2019-17:20:11,,b'',
12-05-2019-17:20:16,,b'',
12-05-2019-17:20:21,,b'',
12-05-2019-17:20:26,play,b'',
12-05-2019-17:20:33,,b'',
12-05-2019-17:20:38,,b'',
12-05-2019-17:20:43,,b'',
12-05-2019-17:20:48,play,b'',
12-05-2019-17:20:55,,b'',
12-05-2019-17:21:00,,b'',
12-05-2019-17:21:05,,b'',
12-05-2019-17:21:10,play,b'',
12-05-2019-17:21:17,,b'',
12-05-2019-17:21:22,,b'',
12-05-2019-17:21:27,,b'',
12-05-2019-17:21:32,play,b'',
12-05-2019-17:21:39,,b'',
12-05-2019-17:21:44,,b'',
12-05-2019-17:21:49,,b'',
12-05-2019-17:21:54,play,b'',
12-05-2019-17:22:01,,b'',
12-05-2019-17:22:06,,b'',
12-05-2019-17:22:11,,b'',
12-05-2019-17:22:16,play,b'',
12-05-2019-17:22:23,,b'',
12-05-2019-17:22:28,,b'',
12-05-2019-17:22:33,,b'',
12-05-2019-17:22:38,play,b'',
12-05-2019-17:22:45,,b'',
12-05-2019-17:22:50,,b'',
12-05-2019-17:22:55,,b'',
12-05-2019-17:23:00,play,b'',
12-05-2019-17:23:07,,b'',
12-05-2019-17:23:12,,b'',
12-05-2019-17:23:17,,b'',
12-05-2019-17:23:22,play,b'',
12-05-2019-17:23:29,,b'',
12-05-2019-17:23:34,,b'',
12-05-2019-17:23:39,,b'',
12-05-2019-17:23:44,play,b'',
12-05-2019-17:23:51,,b'',
12-05-2019-17:23:56,,b'',
12-05-2019-17:24:01,,b'',
12-05-2019-17:24:06,,b'',
12-05-2019-17:24:07,play,,
12-05-2019-17:24:14,,b'',
12-05-2019-17:24:19,,b'',
12-05-2019-17:24:24,,b'',
12-05-2019-17:24:29,play,b'',
