,signal,feeder,pump
06-05-2019-20:28:43,play,b'',
06-05-2019-20:28:46,,b'',
06-05-2019-20:28:47,,b'',
06-05-2019-20:28:49,,b'',
06-05-2019-20:28:50,,b'',
06-05-2019-20:28:51,,b'',
06-05-2019-20:28:52,,b'',
06-05-2019-20:28:53,,b'',
06-05-2019-20:28:54,,b'',
06-05-2019-20:28:55,,b'',
06-05-2019-20:28:56,play,b'',
06-05-2019-20:28:59,,b'',
06-05-2019-20:29:00,,b'',
06-05-2019-20:29:01,,b'',
06-05-2019-20:29:02,,b'',
06-05-2019-20:29:03,,b'',
06-05-2019-20:29:04,,b'',
06-05-2019-20:29:05,,b'',
06-05-2019-20:29:06,,b'',
06-05-2019-20:29:07,,b'',
06-05-2019-20:29:08,play,b'',
06-05-2019-20:29:11,,b'',
06-05-2019-20:29:12,,b'',
06-05-2019-20:29:13,,b'',
06-05-2019-20:29:14,,b'',
06-05-2019-20:29:15,,b'',
06-05-2019-20:29:16,,b'',
06-05-2019-20:29:17,,b'',
