,signal,feeder,pump
08-05-2019-16:29:38,,b'2',
08-05-2019-16:29:43,play,b'',
08-05-2019-16:29:46,,b'2',1
08-05-2019-16:29:49,,b'1',
08-05-2019-16:29:54,,b'',
