,signal,bat_id_1,bat_id_2,feeder,pump,condition
05-11-2019-23:32:23,,,,no_bat,,L reward
05-11-2019-23:32:24,,,,no_bat,,L reward
05-11-2019-23:32:25,,,,no_bat,,L reward
05-11-2019-23:32:26,,,,no_bat,,L reward
05-11-2019-23:32:27,,,,no_bat,,L reward
05-11-2019-23:32:28,,,,no_bat,,L reward
05-11-2019-23:32:29,,,,no_bat,,L reward
05-11-2019-23:32:30,,,,no_bat,,L reward
05-11-2019-23:32:31,,,,no_bat,,L reward
05-11-2019-23:32:32,play,,,,,L reward
05-11-2019-23:32:33,,,,no_bat,,L reward
05-11-2019-23:32:34,,,,no_bat,,L reward
05-11-2019-23:32:35,,,,no_bat,,L reward
05-11-2019-23:32:36,,,,no_bat,,L reward
05-11-2019-23:32:37,,,,no_bat,,L reward
05-11-2019-23:32:38,,,,no_bat,,L reward
05-11-2019-23:32:39,,,,no_bat,,L reward
05-11-2019-23:32:40,,,,no_bat,,L reward
05-11-2019-23:32:41,,,,no_bat,,L reward
05-11-2019-23:32:42,,,,no_bat,,L reward
05-11-2019-23:32:43,,,,no_bat,,L reward
05-11-2019-23:32:44,,,,no_bat,,L reward
05-11-2019-23:32:45,,,,no_bat,,L reward
05-11-2019-23:32:46,,,,no_bat,,L reward
05-11-2019-23:32:47,,,,no_bat,,L reward
05-11-2019-23:32:48,,,,no_bat,,L reward
05-11-2019-23:32:49,,,,no_bat,,L reward
05-11-2019-23:32:50,,,,no_bat,,L reward
05-11-2019-23:32:51,,,,no_bat,,L reward
05-11-2019-23:32:52,,,,no_bat,,L reward
05-11-2019-23:32:53,,,,no_bat,,L reward
05-11-2019-23:32:54,play,,,no_bat,,L reward
05-11-2019-23:32:55,,,,no_bat,,L reward
05-11-2019-23:32:56,,,,no_bat,,L reward
05-11-2019-23:32:57,,,,no_bat,,L reward
05-11-2019-23:32:58,,,,no_bat,,L reward
05-11-2019-23:32:59,,,,no_bat,,L reward
05-11-2019-23:33:00,,,,no_bat,,L reward
05-11-2019-23:33:01,,,,no_bat,,L reward
05-11-2019-23:33:02,,,,no_bat,,L reward
05-11-2019-23:33:03,,,,no_bat,,L reward
05-11-2019-23:33:04,,,,no_bat,,L reward
05-11-2019-23:33:05,,,,no_bat,,L reward
05-11-2019-23:33:06,,,,no_bat,,L reward
05-11-2019-23:33:07,,,,no_bat,,L reward
05-11-2019-23:33:08,,,,no_bat,,L reward
05-11-2019-23:33:09,,,,no_bat,,L reward
05-11-2019-23:33:10,,,,no_bat,,L reward
05-11-2019-23:33:11,,,,no_bat,,L reward
05-11-2019-23:33:12,,,,no_bat,,L reward
05-11-2019-23:33:13,,,,no_bat,,L reward
05-11-2019-23:33:14,,,,no_bat,,L reward
05-11-2019-23:33:15,,,,no_bat,,L reward
05-11-2019-23:33:16,play,,,no_bat,,L reward
05-11-2019-23:33:17,,,,no_bat,,L reward
05-11-2019-23:33:18,,,,no_bat,,L reward
05-11-2019-23:33:19,,,,no_bat,,L reward
05-11-2019-23:33:20,,,,no_bat,,L reward
05-11-2019-23:33:21,,,,no_bat,,L reward
05-11-2019-23:33:22,,,,no_bat,,L reward
05-11-2019-23:33:23,,,,no_bat,,L reward
05-11-2019-23:33:24,,,,no_bat,,L reward
05-11-2019-23:33:25,,,,no_bat,,L reward
05-11-2019-23:33:26,,,,no_bat,,L reward
05-11-2019-23:33:27,,,,no_bat,,L reward
05-11-2019-23:33:28,,,,no_bat,,L reward
05-11-2019-23:33:29,,,,no_bat,,L reward
05-11-2019-23:33:30,,,,no_bat,,L reward
05-11-2019-23:33:31,,,,no_bat,,L reward
05-11-2019-23:33:32,,,,no_bat,,L reward
05-11-2019-23:33:33,,,,no_bat,,L reward
05-11-2019-23:33:34,,,,no_bat,,L reward
05-11-2019-23:33:35,,,,no_bat,,L reward
05-11-2019-23:33:36,,,,no_bat,,L reward
05-11-2019-23:33:37,,,,no_bat,,L reward
05-11-2019-23:33:38,play,,,no_bat,,L reward
05-11-2019-23:33:39,,,,no_bat,,L reward
05-11-2019-23:33:40,,,,no_bat,,L reward
05-11-2019-23:33:41,,,,no_bat,,L reward
05-11-2019-23:33:42,,,,no_bat,,L reward
05-11-2019-23:33:43,,,,no_bat,,L reward
05-11-2019-23:33:44,,,,no_bat,,L reward
05-11-2019-23:33:45,,,,no_bat,,L reward
05-11-2019-23:33:46,,,,no_bat,,L reward
05-11-2019-23:33:47,,,,no_bat,,L reward
05-11-2019-23:33:48,,,,no_bat,,L reward
05-11-2019-23:33:49,,,,no_bat,,L reward
05-11-2019-23:33:50,,,,no_bat,,L reward
05-11-2019-23:33:51,,,,no_bat,,L reward
05-11-2019-23:33:52,,,,no_bat,,L reward
05-11-2019-23:33:53,,,,no_bat,,L reward
05-11-2019-23:33:54,,,,no_bat,,L reward
05-11-2019-23:33:55,,,,no_bat,,L reward
05-11-2019-23:33:56,,,,no_bat,,L reward
05-11-2019-23:33:57,,,,no_bat,,L reward
05-11-2019-23:33:58,,,,no_bat,,L reward
05-11-2019-23:33:59,play,,,no_bat,,L reward
